,Horsepower,Extra propeller,Retractable Landing gear,Empty Weight (lb),Payload Weight (lb),Fuel Load (lb)(Enough for 40 min),Total Weight (lb),Wing 1 Semi-Length,Wing 1 Lat Arm,Wing 1 Root Chord,Wing 1 Tip Chord,Sweep,Long Arm,Wing Area,Aspect Ratio,Wing Loading,Power Loading,Score
1259,425,0,0,1400.2800000000002,5900,300,7600.280000000001,35,2,2.9,2.9,0,13,203.0,24.137931034482758,37.43980295566503,17.883011764705884,89118.5851254458
1260,450,0,0,1868.2800000000002,5000,300,7168.280000000001,55,2,2.0,2.3,0,13,236.5,51.162790697674424,30.309852008456662,15.929511111111113,89115.6366401839
1261,450,1,1,1908.2800000000002,5000,300,7208.280000000001,55,2,2.0,2.3,0,13,236.5,51.162790697674424,30.478985200845667,16.0184,89115.6366401839
1262,450,1,1,1908.2800000000002,5000,300,7208.280000000001,55,2,2.0,2.3,0,13,236.5,51.162790697674424,30.478985200845667,16.0184,89115.6366401839
1263,475,1,0,1636.2800000000002,5900,300,7836.280000000001,45,2,2.0,2.0,0,13,180.0,45.0,43.534888888888894,16.49743157894737,89115.58531010541
1264,475,1,1,1656.2800000000002,5900,300,7856.280000000001,45,2,2.0,2.0,0,13,180.0,45.0,43.646,16.539536842105264,89115.58531010541
1265,475,0,0,1616.2800000000002,5600,300,7516.280000000001,45,2,2.0,2.0,0,13,180.0,45.0,41.757111111111115,15.823747368421055,89115.58531010541
1266,475,0,0,1616.2800000000002,5900,300,7816.280000000001,45,2,2.0,2.0,0,13,180.0,45.0,43.42377777777778,16.455326315789474,89115.58531010541
1267,400,1,1,1568.2800000000002,5300,300,7168.280000000001,40,2,4.1,2.0,0,13,244.0,26.229508196721312,29.37819672131148,17.9207,89114.04204809899
1268,450,0,1,1544.2800000000002,5300,300,7144.280000000001,45,2,2.3,2.0,0,13,193.5,41.86046511627907,36.921343669250646,15.876177777777778,89104.95115986727
1269,450,1,0,1544.2800000000002,5300,300,7144.280000000001,45,2,2.0,2.3,0,13,193.5,41.86046511627907,36.921343669250646,15.876177777777778,89104.95115986727
1270,475,1,0,2260.28,5000,300,7560.280000000001,60,2,2.0,2.3,0,13,258.0,55.81395348837209,29.30341085271318,15.916378947368422,89104.883609529
1271,475,0,0,2240.28,5000,300,7540.280000000001,60,2,2.0,2.3,0,13,258.0,55.81395348837209,29.22589147286822,15.874273684210527,89104.883609529
1272,400,0,0,1624.2800000000002,5600,300,7524.280000000001,40,2,4.4,2.0,0,13,256.0,25.0,29.391718750000003,18.8107,89100.37222355125
1273,400,0,0,1624.2800000000002,5600,300,7524.280000000001,40,2,4.4,2.0,0,13,256.0,25.0,29.391718750000003,18.8107,89100.37222355125
1274,425,0,0,1824.2800000000002,5600,300,7724.280000000001,40,2,4.4,2.0,0,13,256.0,25.0,30.172968750000003,18.174776470588238,89100.37222355125
1275,400,1,1,1664.2800000000002,5600,300,7564.280000000001,40,2,4.4,2.0,0,13,256.0,25.0,29.547968750000003,18.910700000000002,89100.37222355125
1276,400,1,0,1900.2800000000002,5300,300,7500.280000000001,45,2,3.8,2.6,0,13,288.0,28.125,26.04263888888889,18.750700000000002,89098.91791189185
1277,425,1,0,2100.28,5300,300,7700.280000000001,45,2,3.8,2.6,0,13,288.0,28.125,26.737083333333334,18.118305882352942,89098.91791189185
1278,400,0,1,1900.2800000000002,5300,300,7500.280000000001,45,2,3.8,2.6,0,13,288.0,28.125,26.04263888888889,18.750700000000002,89098.91791189185
1279,400,0,0,1880.2800000000002,5600,300,7780.280000000001,45,2,4.1,2.3,0,13,288.0,28.125000000000004,27.014861111111113,19.4507,89094.53847773548
1280,400,0,0,1880.2800000000002,5600,300,7780.280000000001,45,2,4.1,2.3,0,13,288.0,28.125000000000004,27.014861111111113,19.4507,89094.53847773548
1281,450,1,0,1704.2800000000002,5900,300,7904.280000000001,35,2,4.1,2.0,0,13,213.5,22.95081967213115,37.022388758782206,17.565066666666667,89093.51144210003
1282,450,0,0,1684.2800000000002,5900,300,7884.280000000001,35,2,3.8,2.3,0,13,213.5,22.95081967213115,36.928711943793914,17.520622222222222,89093.51144210003
1283,450,1,0,1704.2800000000002,5900,300,7904.280000000001,35,2,3.8,2.3,0,13,213.5,22.95081967213115,37.022388758782206,17.565066666666667,89093.51144210003
1284,450,0,0,1684.2800000000002,5900,300,7884.280000000001,35,2,4.1,2.0,0,13,213.5,22.95081967213115,36.928711943793914,17.520622222222222,89093.51144210003
1285,450,1,1,1724.2800000000002,5900,300,7924.280000000001,35,2,4.1,2.0,0,13,213.5,22.95081967213115,37.11606557377049,17.60951111111111,89093.51144210003
